,CP,nsplit,rel error,xerror,xstd
1,0.178220610977,0,1.0,1.00080296793,0.0378867723894
2,0.0535886531877,1,0.821779389023,0.829480664745,0.036035744795
3,0.0297432891932,2,0.768190735835,0.793911209243,0.032893199057
4,0.0288857694434,3,0.738447446642,0.776391210896,0.0324394768244
5,0.0223427797029,4,0.709561677198,0.763978441079,0.0309317665305
6,0.0192723805006,5,0.687218897496,0.744923848183,0.0299084587243
7,0.0151134596818,6,0.667946516995,0.727836744359,0.0290220980381
8,0.010159087788,7,0.652833057313,0.725300917367,0.0285438618672
9,0.00916036883951,9,0.632514881737,0.712194562437,0.0285430656444
10,0.00865038494369,10,0.623354512898,0.708150519599,0.0283756861346
11,0.00752636312253,11,0.614704127954,0.703799430974,0.028245001841
12,0.00747095838752,12,0.607177764831,0.708308479308,0.0282147229906
13,0.00636256357074,13,0.599706806444,0.709263096669,0.0282379904784
14,0.00587829397673,14,0.593344242873,0.705549581178,0.0286423419644
15,0.00556814604796,17,0.575709360943,0.704049546889,0.0287142192576
16,0.0055511130848,18,0.570141214895,0.704644181062,0.0288151693829
17,0.00555024844994,20,0.559038988725,0.703907302841,0.0288154737123
18,0.00490562014504,22,0.547938491825,0.703626541676,0.0286120301205
19,0.00455369436469,23,0.54303287168,0.704839891254,0.0290645394074
20,0.00447236758619,25,0.533925482951,0.703385026151,0.0290285335335
21,0.00409363960496,26,0.529453115365,0.710021796517,0.0293198248012
22,0.00405637550726,29,0.51717219655,0.708403466978,0.0290884300512
23,0.00369054177153,30,0.513115821043,0.713595056384,0.0295573922231
24,0.00340697906817,31,0.509425279271,0.717658900311,0.0304097308225
25,0.0033007438295,33,0.502611321135,0.712611748734,0.0301320384632
26,0.00328985437919,35,0.496009833476,0.715976441725,0.0303393878776
27,0.00326641088167,36,0.492719979097,0.715976441725,0.0303393878776
28,0.00326168253121,37,0.489453568215,0.716026433052,0.0303468732013
29,0.00323326893736,39,0.482930203153,0.716026433052,0.0303468732013
30,0.00322630205928,40,0.479696934215,0.715590803988,0.0304102627397
31,0.00320718608519,41,0.476470632156,0.717293413158,0.0306954256433
32,0.00312488268236,42,0.473263446071,0.716173524899,0.0305927714247
33,0.0030867946999,45,0.463888798024,0.716270925713,0.030590730356
34,0.00295910253414,46,0.460802003324,0.71478775618,0.0304004886862
35,0.00292431500373,48,0.454883798255,0.712165900321,0.0305376404858
36,0.0028974783684,50,0.449035168248,0.715344828315,0.0313668509427
37,0.00272310448147,51,0.44613768988,0.712267909779,0.0313691037047
38,0.00266035339702,52,0.443414585398,0.712440895713,0.031758981704
39,0.00261047250308,53,0.440754232001,0.715467154996,0.0318073561083
40,0.00249146080532,55,0.435533286995,0.722417961463,0.0321737615839
41,0.00248600115481,56,0.43304182619,0.721726818625,0.0320291633298
42,0.0024628215422,59,0.425583822725,0.721726818625,0.0320291633298
43,0.00245495433891,60,0.423121001183,0.721734434029,0.032029057628
44,0.00239181446812,62,0.418211092505,0.725046211014,0.0323008032232
45,0.00234757510022,65,0.411035649101,0.726299703865,0.0323208050091
46,0.00233747307062,66,0.408688074001,0.725405161664,0.0322978125615
47,0.00228462109666,68,0.404013127859,0.728180345324,0.0323747126997
48,0.0019564586367,69,0.401728506763,0.727815672856,0.0322213923412
49,0.00192075924018,71,0.397815589489,0.732814146578,0.032491866245
50,0.00192012018533,73,0.393974071009,0.733258253398,0.0325010795378
51,0.00191948488963,74,0.392053950824,0.733258253398,0.0325010795378
52,0.00183486431606,75,0.390134465934,0.736646695374,0.0325717499358
53,0.00166184059686,76,0.388299601618,0.739468262617,0.0327719498946
54,0.00157323217229,77,0.386637761021,0.744521577401,0.0328493671568
55,0.00157211324236,79,0.383491296676,0.75224005884,0.033019368975
56,0.00152391693847,80,0.381919183434,0.752933063888,0.0330252004651
57,0.00146929694279,83,0.377347432619,0.753949575196,0.0330192941549
58,0.00146753308092,84,0.375878135676,0.756433386648,0.0330542177234
59,0.00146215750186,86,0.372943069514,0.756470502811,0.0330537188753
60,0.00145946971234,87,0.371480912012,0.75668530051,0.033057380884
61,0.00137780226137,89,0.368561972588,0.759349228069,0.0330500897283
62,0.0013745494029,90,0.367184170326,0.757914843779,0.0330354401771
63,0.00135131978131,91,0.365809620923,0.757146403588,0.0330133247299
64,0.00133433243772,94,0.361539731288,0.758080367677,0.0330260242691
65,0.00133358848015,95,0.360205398851,0.757834464307,0.0330145586968
66,0.00133228557952,96,0.35887181037,0.757834464307,0.0330145586968
67,0.00132110296047,97,0.357539524791,0.758489604507,0.0330123350713
68,0.00130342600132,98,0.35621842183,0.761963719036,0.0331040634779
69,0.00130130241099,99,0.354914995829,0.763349930727,0.0331598921199
70,0.00129538016181,100,0.353613693418,0.763446058751,0.0331598390059
71,0.00128472360682,101,0.352318313256,0.764151521852,0.0330944647588
72,0.00127901104004,103,0.349748866043,0.764151521852,0.0330944647588
73,0.00125654160316,105,0.347190843963,0.764613883961,0.0330866069535
74,0.00121022836028,106,0.345934302359,0.763601110546,0.0330123566414
75,0.0011651567593,107,0.344724073999,0.762978295003,0.0330105397408
76,0.00112060664791,108,0.34355891724,0.762891937663,0.0330360417824
77,0.00111946433736,110,0.341317703944,0.762051828753,0.0330105821311
78,0.00105382254429,111,0.340198239607,0.763437207312,0.0330710073715
79,0.00104196296016,112,0.339144417062,0.764619251285,0.0330585695891
80,0.00103846413485,113,0.338102454102,0.764639524712,0.0330582833563
81,0.00101632041432,114,0.337063989967,0.764356459255,0.0330557228778
82,0.000938217730363,115,0.336047669553,0.768605045546,0.0332040459518
